Pt p
Kp k
La l
Br b
Fd f
Sc s
Nl n
Ov o
Mk m
Hn h
Y  Y
Gb G
Ar A
Ov O
* Md  
* Pe  
It I
Eb B
Cm C
Sm S
Ef B
Jb J
Jv J
Mc M
Mh m
Nt N
On S
Sh s
Tr T
Wz w
Wb W
Yb y
De d
Hh H
Us U
Ur u
Dw D
Pu P
* At  
* Cd  
Ho h
* Ks  
* Kg  
* Mz  
* Mp  
* Nb  
* Pa  
* Ud  
Go G
Ti t
Ro r
Hs K
Hc h
Om O
Qb q
Ap a
Gc S
* Kk  
* Ft  
* Gn  
* Ny  
